Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
2017-03-20,26.695,27.4025,26.532499,27.362499,27.005756,74856800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6366
2017-03-21,27.1875,27.49,26.397499,26.477501,26.132292,91348400,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6591
2017-03-22,26.365,27.065001,26.325001,27.0175,26.665253,61676400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.436
2017-03-23,26.9375,27.139999,26.674999,26.772499,26.423445,53394000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11414999999999997
2017-03-24,27.2425,27.3225,26.605,26.8675,26.517206,43950000,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2017-03-27,26.395,27.102501,25.895,27.0625,26.709667,50664400,,,,,,,,,
2017-03-28,27.075001,27.2225,26.817499,26.922501,26.571489,43244400,,,,,,,,,
2017-03-29,26.997499,27.122499,26.8125,26.834999,26.485126,34999200,,,,,,,,,
2017-03-30,26.907499,27.5,26.85,27.35,26.99341,52553200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.648
2017-03-31,27.252501,27.4725,27.1,27.2325,26.877451,44080800,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-04-03,27.237499,27.4125,26.855,27.094999,26.741741,44523200,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.71075
2017-04-04,25.85,26.105,25.084999,25.195,24.86651,127128000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23665000000000003
2017-04-05,25.004999,25.592501,24.875,25.0075,24.681458,74704800,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.29905000000000004
2017-04-06,25.059999,25.3125,24.602501,25.190001,24.861578,63512000,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5
2017-04-07,25.254999,25.432501,24.93,25.0825,24.75548,42906800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-04-10,25.09,25.157499,24.4,24.442499,24.123819,75633200,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5
2017-04-11,24.137501,24.725,24.0875,24.530001,24.210186,61814800,,,,,,,,,
2017-04-12,24.530001,24.674999,24.275,24.327499,24.010321,41409200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.648
2017-04-13,24.0825,24.3025,23.872499,23.872499,23.561258,50689200,,,,,,,,,
2017-04-17,24.002501,24.809999,23.950001,24.807501,24.484068,49729200,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2017-04-18,24.6625,24.885,24.4,24.8225,24.498867,37011600,,,,,,,,,
2017-04-19,25.0,25.245001,24.852501,24.92,24.595097,38082800,,,,,,,,,
2017-04-20,25.067499,25.362499,24.852501,25.315001,24.984947,40401600,,,,,,,,,
2017-04-21,25.209999,25.4475,25.09,25.42,25.088583,34189600,,,,,,,,,
2017-04-24,25.74,25.870001,25.5275,25.737499,25.401941,37182000,,,,,,,,,
2017-04-25,25.885,26.3325,25.6675,26.184999,25.843607,38844000,,,,,,,,,
2017-04-26,26.3225,26.3475,25.985001,26.004999,25.665953,32700400,,,,,,,,,
2017-04-27,26.08,26.495001,25.897499,26.41,26.065668,31970000,,,,,,,,,
2017-04-28,26.34,26.41,26.0175,26.075001,25.735044,34824800,,,,,,,,,
2017-05-01,26.184999,26.7125,26.112499,26.66,26.31241,30773200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-05-02,26.387501,26.4,25.639999,25.870001,25.532715,62997200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-05-03,25.799999,26.16,25.65,26.0625,25.722698,33690400,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2017-05-04,26.125,26.237499,25.8825,25.9625,25.624008,20978800,,,,,,,,,
2017-05-05,25.844999,26.0375,25.6875,25.965,25.626474,22842800,,,,,,,,,
2017-05-08,26.084999,26.1,25.577499,25.692499,25.357523,36524000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-05-09,25.75,26.2325,25.665001,25.735001,25.399479,84767200,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
2017-05-10,28.5725,30.455,28.504999,30.3225,29.92716,212909600,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3194
2017-05-11,30.012501,32.607498,29.977501,31.625,31.212677,193979200,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
2017-05-12,31.657499,32.400002,31.445,31.9725,31.555645,96262000,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2017-05-15,32.389999,33.602501,32.345001,33.577499,33.139725,108754000,,,,,,,,,
2017-05-16,34.095001,34.360001,33.34,34.202499,33.756584,112070000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-05-17,33.525002,33.715,31.887501,31.93,31.513702,127136800,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-05-18,32.375,33.357498,31.762501,33.267502,32.833775,115603200,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
