Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_Random
2016-04-19,111.650002,113.949997,111.480003,112.68,91.482658,10526400,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-04-20,113.190002,114.190002,113.050003,113.580002,92.213333,8213400,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2016-04-21,113.309998,113.730003,112.769997,113.57,92.205177,7884500,,,,,,,,,,
2016-04-22,113.43,113.75,112.830002,113.32,92.002251,7508700,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2016-04-25,113.309998,113.550003,112.480003,113.510002,92.156525,6139900,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2016-04-26,113.449997,113.559998,112.650002,112.910004,91.669357,5853600,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-04-27,112.959999,113.199997,112.459999,112.769997,91.555687,5759300,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2016-04-28,112.099998,112.709999,111.639999,112.480003,91.320274,6640000,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2016-04-29,112.059998,112.220001,111.510002,112.080002,90.995529,7774500,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-05-02,112.220001,112.790001,111.93,112.75,91.539474,5178800,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-05-03,112.559998,113.099998,112.120003,112.690002,91.490761,7554500,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2016-05-04,112.040001,112.540001,111.699997,112.220001,91.109192,5214600,,,,,,,,,,
2016-05-05,112.080002,113.099998,112.040001,112.879997,91.645004,5404300,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-06,112.580002,113.050003,112.279999,112.739998,91.531349,6099900,,,,,,,,,,
2016-05-09,112.980003,113.989998,112.730003,113.720001,92.327003,6512700,,,,,,,,,,
2016-05-10,114.0,115.0,113.919998,114.669998,93.098274,8356400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-05-11,114.57,114.760002,114.309998,114.370003,92.854706,6680700,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2016-05-12,114.5,114.760002,113.540001,114.230003,92.741043,7156300,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2016-05-13,113.900002,114.089996,113.360001,113.559998,92.197098,6779900,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-05-16,113.389999,114.629997,113.309998,114.440002,92.911545,6222900,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-05-17,114.540001,114.559998,113.239998,113.830002,92.41629,9233900,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-05-18,113.610001,114.029999,112.879997,113.589996,92.221443,8267900,,,,,,,,,,
2016-05-19,112.989998,113.040001,112.199997,112.849998,91.620651,8232200,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2016-05-20,112.199997,112.919998,111.760002,112.639999,92.103104,7435200,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
2016-05-23,112.769997,112.82,112.040001,112.160004,91.710617,6462300,,,,,,,,,,
2016-05-24,112.519997,113.5,112.519997,112.690002,92.143974,6125300,,,,,,,,,,
2016-05-25,113.18,113.730003,112.849998,113.349998,92.683624,5453800,,,,,,,,,,
2016-05-26,113.110001,113.32,112.849998,112.900002,92.315697,3973600,,,,,,,,,,
2016-05-27,113.040001,113.339996,112.690002,113.059998,92.446503,4647000,,,,,,,,,,
2016-05-31,113.260002,113.629997,112.32,112.690002,92.143974,10104700,,,,,,,,,,
2016-06-01,112.690002,113.059998,112.07,112.779999,92.217567,4748900,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-02,112.870003,114.650002,112.860001,114.489998,93.615776,7310800,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-03,114.470001,115.389999,114.120003,114.760002,93.836571,6881700,,,,,,,,,,
2016-06-06,114.970001,116.0,114.93,115.769997,94.662407,6349400,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2016-06-07,116.010002,116.230003,115.449997,115.730003,94.629723,6417400,,,,,,,,,,
2016-06-08,115.519997,115.949997,115.410004,115.800003,94.686943,5863800,,,,,,,,,,
