Date,Open,High,Low,Close,Adj Close,Volume
2011-12-30,3.480000,3.517500,3.460000,3.465000,3.178881,18695600
2012-01-03,3.575000,3.600000,3.502500,3.510000,3.220165,46804400
2012-01-04,3.512500,3.565000,3.480000,3.550000,3.256862,34737200
2012-01-05,3.532500,3.695000,3.517500,3.677500,3.373834,56354800
2012-01-06,3.675000,3.677500,3.592500,3.635000,3.334843,53325200
2012-01-09,3.637500,3.705000,3.610000,3.635000,3.334843,50824400
2012-01-10,3.690000,3.692500,3.595000,3.620000,3.321082,54632800
2012-01-11,3.587500,3.620000,3.532500,3.547500,3.254567,48427200
2012-01-12,3.555000,3.557500,3.447500,3.525000,3.233926,65236400
2012-01-13,3.500000,3.507500,3.415000,3.432500,3.149064,50430000
2012-01-17,3.485000,3.485000,3.375000,3.380000,3.100899,62717600
2012-01-18,3.445000,3.522500,3.427500,3.495000,3.206404,63267600
2012-01-19,3.525000,3.592500,3.487500,3.587500,3.291265,60831200
2012-01-20,3.582500,3.625000,3.542500,3.555000,3.261449,54627200
2012-01-23,3.557500,3.655000,3.512500,3.652500,3.350899,56279200
2012-01-24,3.627500,3.750000,3.625000,3.735000,3.426586,73092000
2012-01-25,3.635000,3.722500,3.530000,3.712500,3.405943,127415200
2012-01-26,3.767500,3.810000,3.657500,3.677500,3.373834,79967200
2012-01-27,3.655000,3.747500,3.625000,3.727500,3.419705,44999600
2012-01-30,3.662500,3.717500,3.607500,3.700000,3.394476,39907600
2012-01-31,3.710000,3.712500,3.627500,3.692500,3.387595,35790000
2012-02-01,3.735000,3.775000,3.682500,3.732500,3.424292,42802000
2012-02-02,3.752500,3.887500,3.715000,3.872500,3.552732,69623600
2012-02-03,3.930000,3.987500,3.922500,3.955000,3.628419,49523200
2012-02-06,3.935000,3.940000,3.890000,3.925000,3.600897,27886800
2012-02-07,3.930000,3.957500,3.865000,3.935000,3.610071,41029600
2012-02-08,3.935000,4.155000,3.915000,4.077500,3.740804,84761200
2012-02-09,4.127500,4.150000,4.067500,4.075000,3.738510,56194400
2012-02-10,4.035000,4.050000,3.952500,3.975000,3.646769,44026800
2012-02-13,4.075000,4.090000,3.955000,4.037500,3.704107,61066800
2012-02-14,4.037500,4.095000,4.002500,4.060000,3.724749,45375600
2012-02-15,4.097500,4.225000,4.032500,4.042500,3.708694,111085600
2012-02-16,3.765000,4.145000,3.750000,4.112500,3.772914,188858800
2012-02-17,4.115000,4.142500,3.925000,3.962500,3.635300,102036000
2012-02-21,3.960000,4.080000,3.952500,3.982500,3.653648,51817600
2012-02-22,3.962500,4.060000,3.950000,3.955000,3.628419,49243200
2012-02-23,3.962500,4.000000,3.900000,3.977500,3.649062,32396800
2012-02-24,3.990000,3.995000,3.930000,3.947500,3.621538,36666800
2012-02-27,3.897500,3.915000,3.812500,3.867500,3.548145,74526800
2012-02-28,3.867500,3.912500,3.792500,3.832500,3.516035,69988400
2012-02-29,3.845000,3.910000,3.785000,3.787500,3.474751,68919600
2012-03-01,3.802500,3.857500,3.787500,3.812500,3.497686,44994400
2012-03-02,3.800000,3.900000,3.800000,3.845000,3.527503,68407600
2012-03-05,3.817500,3.825000,3.687500,3.715000,3.408237,51484800
